"","ID","Gender","Education","Offences","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default"
"963",18916,"Male","Grade 12",0,18.75,278958,1.56,293050,35.27,112.5,59.1,"Salaried","Rent","Vehicle",1
"5836",63282,"Female","Grade 12",0,19.25,383913,1.48,1104527,38.13,125.43,65.6,"Salaried","Mortgage","Vehicle",1
"8394",85780,"Male","Grade 12",0,22.25,1125047,2.32,1118570,23.11,82.07,48.4,"Contract","Rent","Vehicle",1
"6164",66268,"Female","Grade 12",0,21.25,837373,1.25,2187277,34.44,113.45,59.4,"Contract","Mortgage","Vehicle",0
"6625",70387,"Male","Diploma",1,23.25,144083,1.98,335068,37.53,124.89,63.8,"Salaried","Rent","Other",1
"4826",53979,"Female","No records",0,22.75,1105044,1.75,501327,36.32,114.8,68.3,"Self-employed","Rent","Other",0
"3723",43876,"Female","Diploma",0,19.25,577440,1.52,620929,26.53,90.53,61.3,"Salaried","Mortgage","Vehicle",1
"1611",24674,"Male","No records",2,18.75,1768777,2.02,5905881,10.15,36.26,37.9,"Self-employed","Mortgage","Home_improvement",1
"9594",96522,"Male","No records",0,23.75,1004337,1.27,3305596,25.97,90.11,56.8,"Self-employed","Rent","Other",0
"770",17085,"Female","No records",1,21.25,1917827,2.05,4505354,32.97,107.69,61.7,"Self-employed","Mortgage","Vehicle",0
"4428",50219,"Male","Degree",0,18.75,516079,1.86,1242890,19.65,69.85,45.8,"Salaried","Rent","Vehicle",0
"3197",39324,"Female","Grade 12",0,14.25,262138,0.64,125482,9.32,35.63,43.9,"Salaried","Mortgage","Home_improvement",0
"1817",26310,"Male","Diploma",1,23.75,696340,2.34,1116809,37.24,116.19,61.1,"Contract","Rent","Vehicle",1
"4135",47389,"Female","No records",0,20.25,438979,2.07,1104218,20.23,74.37,49.2,"Contract","Mortgage","Home_improvement",1
"932",18571,"Female","Diploma",0,18.75,1699307,1.56,919800,33.95,110.93,59.5,"Self-employed","Own","Debt_consolidation",1
"5487",59864,"Female","Degree",0,17.75,319295,1.55,438739,23.52,83.67,47.7,"Salaried","Mortgage","Vehicle",0
"9476",95260,"Male","Degree",1,17.75,212274,1.42,507580,31.34,104.29,59.2,"Salaried","Mortgage","Vehicle",1
"6405",68084,"Male","Grade 12",0,24.75,363894,1.58,289974,33.28,106.66,68,"Contract","Mortgage","Debt_consolidation",1
"9904",99140,"Female","Diploma",1,16.75,561379,1.62,1342573,16.33,58.71,42.7,"Salaried","Mortgage","Home_improvement",0
"9420",94615,"Female","Grade 12",2,16.75,339650,0.6,1211607,30.68,108.35,58.3,"Salaried","Mortgage","Home_improvement",1
"2164",29563,"Male","Grade 12",0,19.75,1025795,1.71,3447269,23.37,84.64,55.6,"Self-employed","Mortgage","Vehicle",0
"4577",51615,"Female","Grade 12",0,18.25,187887,2.01,697080,38.77,124.15,66,"Salaried","Mortgage","Home_improvement",0
"4832",54040,"Female","Grade 12",0,23.75,529307,2.37,1341707,36.14,117.41,58.1,"Self-employed","Rent","Other",0
"1673",25111,"Female","Diploma",1,21.75,98640,1.3,125704,7.68,31.3,33.6,"Salaried","Rent","Other",1
"8226",84232,"Male","Degree",0,18.75,554454,1.29,1456721,24.64,83.74,54.7,"Salaried","Rent","Vehicle",1
"7832",80614,"Male","No records",2,35,2161,0.73,1568,10.27,36.33,34.8,"Unemployed","Rent","Debt_consolidation",1
"9350",94095,"Female","Diploma",0,21.25,455809,2.33,1162878,28.92,93.36,63,"Self-employed","Mortgage","Vehicle",1
"8225",84224,"Male","No records",0,17.75,327015,1.78,610806,20.29,77.02,46.1,"Salaried","Mortgage","Vehicle",1
"64",10580,"Male","Diploma",1,18.75,2296946,1.22,3903252,10.23,41.07,44.3,"Self-employed","Mortgage","Home_improvement",0
"2893",36495,"Male","Diploma",2,35,9429,0.5,15624,36.71,122.92,67,"Unemployed","Rent","Vehicle",1
"4785",53586,"Male","Diploma",0,33.75,2045,0.42,1571,5.72,23.26,31.2,"Unemployed","Rent","Debt_consolidation",1
"1634",24812,"Female","No records",1,35,8652,0.49,25801,5.78,27.06,31.9,"Unemployed","Rent","Debt_consolidation",1
"2559",33171,"Female","Postgrad",2,35,8188,0.54,8425,38.39,125.9,61.9,"Unemployed","Rent","Debt_consolidation",1
"4812",53836,"Male","Degree",0,16.75,226294,1.41,204342,20.88,74.23,54,"Salaried","Mortgage","Home_improvement",1
"8328",85227,"Male","No records",0,29.75,3264,0.31,4530,27.53,90.85,55.3,"Unemployed","Rent","Debt_consolidation",1
"6261",66980,"Male","Grade 12",0,18.25,362755,1.46,1048883,37.8,125.33,61.7,"Salaried","Mortgage","Home_improvement",0
"3126",38737,"Female","Degree",1,16.75,142423,1.24,135201,25.97,87.72,59.3,"Salaried","Mortgage","Home_improvement",1
"6065",65366,"Female","Grade 12",1,21.75,254763,1.43,572131,17.21,57.84,49.1,"Salaried","Rent","Other",0
"5554",60628,"Female","Diploma",0,16.75,245924,0.85,223643,13.76,43.12,47.7,"Salaried","Mortgage","Home_improvement",0
"5603",61174,"Male","Diploma",0,17.75,339608,1.81,620553,7.24,26.4,35.8,"Salaried","Mortgage","Vehicle",0
"3796",44681,"Female","Grade 12",2,32.75,4331,0.39,10471,39.66,129.02,73.2,"Unemployed","Mortgage","Debt_consolidation",1
"7249",75307,"Male","Grade 12",0,16.75,384957,1.02,320727,25.75,87.22,59.2,"Salaried","Mortgage","Home_improvement",0
"4349",49388,"Female","No records",0,21.25,558047,1.96,258774,32.41,110.17,62.8,"Contract","Rent","Vehicle",1
"1781",26007,"Male","Grade 12",2,25.25,2323759,2.13,4647171,33.3,113.4,64.2,"Self-employed","Rent","Other",1
"8267",84638,"Male","Grade 12",3,26.75,1637191,1.72,3801130,4.78,24.9,34.6,"Contract","Rent","Other",1
"7922",81381,"Female","Grade 12",0,19.75,299575,1.72,889144,11.16,45,43.1,"Self-employed","Mortgage","Vehicle",0
"5588",60957,"Male","No records",0,22.25,251376,1.83,665571,24.4,84.73,50.1,"Contract","Rent","Vehicle",1
"9615",96643,"Female","Degree",1,23.75,2812957,1.45,1973638,10.14,45.34,43.3,"Self-employed","Rent","Other",1
"9395",94391,"Male","Grade 12",0,19.25,434035,1.68,1002424,19.13,72.84,46.8,"Salaried","Own","Debt_consolidation",1
"3552",42554,"Female","Postgrad",0,27.75,840214,1.99,540214,0.52,10.14,23.2,"Contract","Rent","Other",0
"3526",42250,"Male","Diploma",1,21.75,238262,1.66,701309,25.84,85.63,57.7,"Salaried","Rent","Other",0
"6105",65703,"Female","Grade 12",0,22.75,431522,2.05,1271051,26.37,86.85,50.3,"Contract","Own","Debt_consolidation",1
"6121",65890,"Female","Grade 12",0,34.25,3032,0.48,1773,8.85,38.56,35.4,"Unemployed","Rent","Other",0
"1969",27611,"Female","No records",0,20.25,654935,0.83,2217939,0.68,16.14,33.2,"Salaried","Mortgage","Home_improvement",1
"803",17429,"Female","Degree",0,20.25,259572,0.58,743262,38.15,127.33,67.6,"Salaried","Rent","Vehicle",1
"3715",43837,"Female","No records",0,17.75,474225,1.45,1676950,7.13,28.36,31.3,"Salaried","Mortgage","Vehicle",0
"499",14645,"Male","No records",1,16.75,448207,1.6,290691,34.01,107.96,62.9,"Salaried","Mortgage","Vehicle",0
"9833",98485,"Female","No records",0,17.75,283631,1.59,433956,24.99,83.9,58.2,"Salaried","Mortgage","Vehicle",0
"4020",46443,"Female","Degree",0,21.75,2115639,1.2,4735084,21.6,77.9,45,"Self-employed","Mortgage","Debt_consolidation",1
"8434",86111,"Male","Grade 12",0,18.25,185870,1.4,558123,30.84,101.83,64.1,"Salaried","Mortgage","Home_improvement",1
"501",14651,"Female","Grade 12",0,19.75,2892541,1.9,5200945,11.81,47.93,46.2,"Self-employed","Mortgage","Vehicle",1
"8282",84773,"Male","Diploma",0,19.25,484605,1.7,571043,25.68,86.64,48.4,"Salaried","Own","Debt_consolidation",1
"6521",69255,"Male","Grade 12",2,18.25,537249,1.36,760447,30.33,99.21,63.7,"Salaried","Mortgage","Home_improvement",0
"2835",35702,"Male","Diploma",0,28.75,755980,1.52,1744064,1.67,18.48,29.6,"Contract","Rent","Other",0
"4971",55084,"Female","Degree",0,18.75,450959,0.92,326284,15.43,61.37,41.8,"Salaried","Rent","Vehicle",1
"4891",54542,"Male","Diploma",2,21.25,1643657,2.14,1578089,39.81,127.24,62.4,"Self-employed","Mortgage","Vehicle",1
"5789",62869,"Female","Diploma",0,19.25,332278,1.49,683498,17.91,60.41,46.2,"Salaried","Own","Debt_consolidation",1
"5792",62894,"Male","Grade 12",0,17.75,191807,1.52,664442,22.94,80.18,54.8,"Salaried","Mortgage","Vehicle",1
"9288",93700,"Female","Degree",0,18.75,474287,1.08,528702,19.12,64.33,46.6,"Salaried","Rent","Vehicle",1
"9244",93283,"Female","No records",0,22.75,582740,2.19,796885,29.56,101.2,56.2,"Contract","Own","Debt_consolidation",1
"1711",25480,"Male","Grade 12",0,20.25,432615,1.38,1183097,4.37,16.31,36.9,"Salaried","Rent","Vehicle",0
"9690",97358,"Male","Degree",0,15.75,705599,1.32,357407,35.41,115.12,67.9,"Salaried","Mortgage","Home_improvement",1
"9171",92529,"Female","Diploma",2,16.75,567735,1.38,1759545,22.43,76.29,52,"Salaried","Mortgage","Home_improvement",1
"5987",64651,"Male","Grade 12",0,21.25,312114,1.39,1054683,31.86,107.08,55.2,"Self-employed","Own","Debt_consolidation",1
"377",13505,"Female","Grade 12",2,34.25,3718,0.54,9662,33.87,113.54,65.6,"Unemployed","Rent","Home_improvement",1
"7903",81225,"Male","Grade 12",0,19.75,1913539,2.4,4098408,24.42,78.84,46.5,"Self-employed","Mortgage","Vehicle",0
"6850",72109,"Male","Grade 12",0,20.25,686984,1.23,1078039,32.61,106.71,60.5,"Self-employed","Mortgage","Home_improvement",1
"3461",41726,"Female","Grade 12",0,17.75,462735,1.23,1168804,14.95,52.63,40.9,"Salaried","Mortgage","Vehicle",0
"2805",35468,"Male","Grade 12",0,19.25,376185,1.61,690788,12.19,45.24,36.8,"Salaried","Own","Debt_consolidation",0
"8106",83124,"Female","Grade 12",0,16.75,458503,1.81,1277066,29.32,96.31,55.1,"Salaried","Mortgage","Home_improvement",0
"6665",70642,"Male","Grade 12",0,23.75,2852565,1.89,8290098,18.57,63.89,44.6,"Self-employed","Rent","Other",0
"9416",94589,"Male","Grade 12",0,23.25,3456079,1.84,6131397,0.17,9.76,30.3,"Self-employed","Mortgage","Vehicle",0
"959",18883,"Male","Grade 12",0,20.75,249544,1.35,625540,31.12,100.78,61.7,"Salaried","Own","Debt_consolidation",1
"2248",30416,"Female","Grade 12",3,18.75,690014,1.33,500651,25.02,84.17,51.5,"Salaried","Rent","Vehicle",1
"8619",87660,"Female","Grade 12",4,21.75,191725,1.47,694870,15.16,59.62,42.3,"Salaried","Rent","Other",1
"89",10851,"Female","Grade 12",2,20.25,133168,1.46,196327,2.38,20.15,30.3,"Salaried","Mortgage","Home_improvement",0
"544",15086,"Female","Postgrad",0,35,5821,0.48,9280,23.3,80.64,53.5,"Unemployed","Rent","Debt_consolidation",0
"594",15491,"Female","Grade 12",0,18.75,129912,1.4,264271,7.64,27.28,37,"Salaried","Rent","Vehicle",0
"8109",83137,"Male","Grade 12",1,12.75,316767,2.39,104961,20.54,68.07,49.1,"Salaried","Mortgage","Home_improvement",0
"3898",45544,"Male","Postgrad",4,20.25,232163,2.04,792093,4.05,21.56,28.1,"Salaried","Rent","Vehicle",1
"8997",91020,"Male","No records",0,25.25,3256916,1.78,8175536,6.85,31.93,41.8,"Self-employed","Rent","Other",0
"7579",78089,"Female","Diploma",0,28.75,2610,0.42,1360,25.72,87.66,59.8,"Unemployed","Mortgage","Debt_consolidation",1
"5719",62213,"Female","Grade 12",0,19.25,289877,2.16,653959,32.3,104.4,62.5,"Salaried","Mortgage","Vehicle",1
"8246",84464,"Female","No records",0,16.75,127316,1.44,301850,28.61,97.15,58.3,"Salaried","Mortgage","Home_improvement",0
"2607",33605,"Male","Grade 12",0,17.75,465780,1.24,702739,8.37,34.68,39.4,"Salaried","Mortgage","Vehicle",0
"1372",22438,"Male","Diploma",0,17.75,140502,1.23,172406,7.36,29.3,33.1,"Salaried","Mortgage","Vehicle",0
"106",10941,"Female","No records",0,17.75,575523,1.87,1475157,15.78,56.83,49.8,"Salaried","Mortgage","Vehicle",1
"9915",99193,"Female","Grade 12",1,19.75,1150366,1.69,1530426,21.71,74.91,48.5,"Self-employed","Mortgage","Vehicle",0
"3062",38020,"Male","Grade 12",4,14.25,698854,2.02,322576,37.01,117.18,59.6,"Salaried","Mortgage","Home_improvement",0
"5016",55510,"Female","Diploma",2,17.75,531283,1.63,593378,22.81,80.49,48.2,"Salaried","Mortgage","Vehicle",1
"6549",69660,"Female","No records",2,17.75,456840,1.37,350200,31.18,100.34,55.1,"Salaried","Mortgage","Vehicle",1
"1883",26951,"Female","Grade 12",0,35,4405,0.59,15233,4.85,23.43,34.9,"Unemployed","Rent","Debt_consolidation",1
"1231",21073,"Female","Grade 12",0,22.75,491894,1.26,363003,23.3,83.81,57.1,"Contract","Own","Debt_consolidation",1
"8082",82982,"Male","No records",1,35,4036,0.53,4712,33.61,109.67,55.7,"Unemployed","Rent","Debt_consolidation",1
"449",14152,"Female","Grade 12",0,14.25,189404,1.42,72106,35.58,120.83,58.2,"Salaried","Mortgage","Home_improvement",1
"1028",19468,"Male","No records",0,21.75,385694,2.17,882716,7.89,36.71,35.4,"Salaried","Rent","Other",1
"2798",35419,"Female","No records",0,14.25,87093,2.08,35446,17.82,59.32,49.8,"Salaried","Mortgage","Home_improvement",1
"2608",33609,"Male","No records",0,22.25,549355,2.38,1674629,18.55,62.07,48.8,"Contract","Rent","Vehicle",0
"9126",92054,"Female","Diploma",0,18.75,512289,2.23,1496815,15.24,55.48,42.5,"Salaried","Rent","Vehicle",0
"1416",22775,"Female","No records",0,18.75,574503,2.07,1543888,15.36,58.72,44.8,"Salaried","Rent","Vehicle",0
"7134",74391,"Male","No records",3,16.75,264107,1.85,984524,18.01,61.89,44,"Salaried","Mortgage","Home_improvement",1
"1261",21427,"Male","Grade 12",0,16.75,476397,0.9,1099436,9.45,38.08,43.1,"Salaried","Mortgage","Home_improvement",0
"1554",24093,"Female","Grade 12",0,19.75,2040357,1.29,620704,17.74,62.57,43.6,"Self-employed","Rent","Other",0
"7038",73711,"Male","Diploma",0,20.25,162284,1.24,511379,33.94,110.62,62.1,"Salaried","Rent","Vehicle",1
"2152",29458,"Male","Diploma",1,18.25,208664,0.9,695049,31.95,103.76,61.8,"Salaried","Mortgage","Home_improvement",0
"3070",38103,"Female","Degree",0,17.75,521057,1.45,1913523,12.6,49.2,36.3,"Salaried","Mortgage","Vehicle",0
"6938",72808,"Male","No records",0,28.75,746335,1.21,1870335,0.08,4.64,24.2,"Self-employed","Rent","Other",1
"1465",23294,"Female","Diploma",0,17.75,413026,1.47,303972,19.93,72.45,49.3,"Salaried","Mortgage","Vehicle",0
"5720",62215,"Male","Postgrad",2,18.75,201873,2.07,648202,24.87,82.11,51.3,"Salaried","Rent","Vehicle",0
"6872",72272,"Female","Grade 12",0,17.75,493556,1.49,988989,17.69,60.02,48.7,"Salaried","Mortgage","Vehicle",1
"8538",86970,"Male","Grade 12",0,18.25,387412,1.07,1164828,6.23,27.72,36.2,"Salaried","Mortgage","Home_improvement",0
"5622",61338,"Male","No records",0,18.75,457200,1.38,1126264,14.24,56.4,45.9,"Salaried","Rent","Vehicle",1
"5595",61039,"Male","Diploma",2,18.75,442015,1.25,1584378,7.82,33.3,40.7,"Salaried","Rent","Vehicle",0
"4726",53011,"Female","Diploma",0,17.75,309711,1.79,1015234,28.7,91.93,54.8,"Salaried","Mortgage","Vehicle",1
"8388",85726,"Male","Diploma",0,35,6244,0.48,7090,23.73,83.74,56.6,"Unemployed","Rent","Other",1
"1531",23925,"Male","Diploma",1,16.75,444367,1.29,315380,21.3,75.81,46.8,"Salaried","Mortgage","Home_improvement",1
"3949",45970,"Male","Grade 12",0,23.75,415766,2,1393337,28.41,98.03,60.7,"Contract","Rent","Vehicle",1
"6329",67470,"Female","Degree",2,16.75,253679,1.37,121312,5.06,27.4,29.3,"Salaried","Mortgage","Vehicle",0
"5320",58407,"Male","No records",0,21.25,1040220,1.55,2110919,16.69,55.99,43,"Contract","Mortgage","Vehicle",1
"1427",22896,"Female","Degree",2,20.75,607481,1.45,201364,39.78,133.8,66.7,"Contract","Mortgage","Debt_consolidation",1
"7030",73617,"Male","No records",0,16.75,729305,1.83,1368601,22.99,80.1,54.9,"Salaried","Mortgage","Home_improvement",0
"3487",41931,"Female","No records",0,17.75,346537,1.42,526154,32.16,103.38,56.7,"Salaried","Mortgage","Vehicle",0
"6643",70522,"Female","Degree",0,19.75,2525034,1.78,5544017,12.23,46.77,42.1,"Self-employed","Mortgage","Vehicle",1
"1758",25846,"Male","Grade 12",0,22.75,640935,1.61,1016608,39.33,126.73,62.5,"Contract","Mortgage","Vehicle",1
"9560",96139,"Male","Grade 12",0,18.25,305515,1.23,627777,35.59,116.97,62.7,"Salaried","Mortgage","Home_improvement",1
"4272",48734,"Male","No records",3,19.25,316509,1.92,770660,6.77,33.05,35.8,"Salaried","Mortgage","Vehicle",0
"5484",59844,"Female","Postgrad",2,17.75,231811,1.34,266095,21.05,75.37,46.7,"Salaried","Mortgage","Vehicle",0
"2488",32425,"Female","Postgrad",1,16.75,229464,1.19,528258,9.79,39.9,36,"Salaried","Mortgage","Home_improvement",0
"5035",55726,"Male","Grade 12",0,20.25,434135,1.1,880715,6.3,27.13,29.5,"Salaried","Rent","Vehicle",0
"8169",83725,"Female","Degree",3,24.25,1493101,1.79,3013357,6.91,32.61,39.5,"Contract","Own","Debt_consolidation",1
"4657",52372,"Male","Grade 12",2,17.75,527091,1.79,1830792,8.49,36.48,32.8,"Salaried","Mortgage","Vehicle",0
"690",16286,"Male","Diploma",1,25.25,248953,1.4,724212,6.79,22.95,31.2,"Self-employed","Rent","Other",0
"7512",77589,"Male","Diploma",2,35,3289,0.48,7864,38.12,121.87,69.6,"Unemployed","Rent","Debt_consolidation",0
"8881",89970,"Female","No records",0,28.75,4213,0.2,12022,25.29,90.65,50,"Unemployed","Mortgage","Debt_consolidation",0
"4588",51731,"Female","Grade 12",0,16.75,380552,1.44,1295264,16.87,54.25,44.9,"Salaried","Mortgage","Home_improvement",0
"692",16365,"Male","Diploma",0,19.25,145070,1.8,236298,14.64,58.44,39.9,"Salaried","Own","Debt_consolidation",1
"643",15851,"Male","No records",0,35,4600,0.57,16915,4.42,22.36,27.4,"Unemployed","Rent","Other",1
"3797",44689,"Female","Diploma",0,21.75,149249,1.07,509060,13.11,49.95,41.9,"Salaried","Rent","Other",0
"5033",55710,"Female","Diploma",0,18.25,225510,1.05,352496,29.06,99.07,63.8,"Salaried","Mortgage","Home_improvement",0
"2824",35603,"Female","No records",1,35,5929,0.51,16217,18.75,63.09,49.3,"Unemployed","Rent","Debt_consolidation",1
"5227",57583,"Female","Diploma",0,19.75,1283159,1.56,3832832,17.42,57.18,47.5,"Self-employed","Mortgage","Vehicle",1
"1736",25682,"Female","Grade 12",0,19.25,303452,1.97,140410,27.39,91.73,57.5,"Salaried","Rent","Other",0
"136",11263,"Female","Degree",1,23.25,262110,1.72,291654,33.93,107.47,60.2,"Salaried","Rent","Other",1
"5288",58122,"Male","No records",1,21.75,1152643,2.62,3310237,27.99,93.85,59.7,"Self-employed","Mortgage","Debt_consolidation",1
"1287",21689,"Female","Degree",0,25.25,931008,1.9,2132810,39.92,129.8,69.2,"Self-employed","Rent","Other",1
"7199",74878,"Male","Diploma",3,21.25,1226110,0.95,1389517,19.54,73.39,46.8,"Contract","Mortgage","Vehicle",0
"3521",42212,"Female","Diploma",3,17.25,2782521,1.98,1022645,14.18,53.75,41.2,"Self-employed","Mortgage","Vehicle",1
"8887",90015,"Female","Postgrad",0,32.25,2890,0.45,7806,31.13,105.99,55,"Unemployed","Rent","Debt_consolidation",0
"5272",57990,"Male","Grade 12",0,19.25,230432,1.51,598154,17.09,59.52,42.4,"Salaried","Own","Debt_consolidation",0
"9105",91929,"Female","Grade 12",0,17.75,121954,1.57,149947,7.92,39.53,35.9,"Salaried","Mortgage","Vehicle",0
"5627",61358,"Female","Diploma",0,21.25,571862,1.59,1433480,25.73,85.53,51.2,"Contract","Mortgage","Vehicle",1
"1843",26600,"Male","No records",2,24.75,805138,1.24,1669318,1.19,8.87,23.8,"Self-employed","Mortgage","Vehicle",0
"9817",98394,"Female","No records",0,35,3840,0.55,7262,24.11,84.09,56.2,"Unemployed","Rent","Debt_consolidation",1
"4164",47632,"Male","Diploma",0,19.25,394189,1.29,417284,8.15,36.11,35.2,"Salaried","Own","Debt_consolidation",0
"6140",66050,"Female","Grade 12",0,19.75,2244014,1.65,5177951,13.68,49.16,41.3,"Self-employed","Mortgage","Vehicle",0
"3506",42056,"Male","Grade 12",1,20.25,468107,1.45,1499765,34.67,114.75,67,"Salaried","Rent","Vehicle",0
"9862",98721,"Female","Grade 12",0,26.75,255199,2.04,427079,30.71,103.35,62,"Contract","Rent","Other",0
"9920",99245,"Female","Grade 12",2,20.25,429024,1.36,1159611,33.94,108.77,62.5,"Salaried","Rent","Vehicle",1
"7739",79755,"Female","Grade 12",3,16.75,628721,1.75,474787,20.41,72.72,54.6,"Salaried","Mortgage","Home_improvement",1
"6927",72744,"Male","No records",2,18.75,196191,1.49,345168,8.32,32.62,37.8,"Salaried","Rent","Vehicle",0
"3895",45519,"Female","Diploma",0,22.25,675720,2.66,1717166,16.09,54.56,39,"Contract","Rent","Vehicle",1
"9865",98736,"Female","No records",0,16.75,192203,1.83,528387,25.02,86.67,49.3,"Salaried","Mortgage","Home_improvement",0
"243",12291,"Male","Diploma",0,20.25,345606,1.17,707957,26.97,91.24,60.2,"Self-employed","Mortgage","Home_improvement",1
"2447",32083,"Male","Diploma",0,18.25,203020,1.07,152937,37.09,123.24,61.3,"Salaried","Mortgage","Home_improvement",0
"5557",60646,"Male","Grade 12",0,16.75,271239,1.47,454514,22.44,80.32,51.5,"Salaried","Mortgage","Home_improvement",0
"8278",84745,"Female","Grade 12",3,16.75,132874,1.54,492378,28.7,95.13,55.2,"Salaried","Mortgage","Home_improvement",0
"4222",48200,"Female","Degree",0,19.25,317267,2.01,887037,11.39,38.95,34.6,"Salaried","Own","Debt_consolidation",1
"8151",83553,"Male","Degree",0,23.75,1402510,1.99,3957146,34.33,120.22,58.4,"Self-employed","Rent","Other",1
"4033",46562,"Female","Grade 12",0,25.25,1384033,1.74,3927521,14.29,52.45,43.2,"Contract","Rent","Other",1
"8034",82360,"Male","Diploma",0,18.75,232631,1.01,569324,15.1,58.53,44,"Salaried","Rent","Vehicle",0
"8147",83480,"Male","Grade 12",0,19.25,379086,1.33,1366438,36.58,120.91,68.9,"Salaried","Mortgage","Vehicle",1
"5799",62947,"Male","Grade 12",0,15.25,141248,1.61,57380,11.94,46.72,42.8,"Salaried","Mortgage","Vehicle",0
"555",15147,"Female","Grade 12",2,23.75,1013255,1.74,1907513,13.41,50.04,39.2,"Self-employed","Rent","Other",1
"5654",61580,"Male","Grade 12",0,19.25,106929,1.77,278260,18.41,59.82,47.7,"Salaried","Own","Debt_consolidation",1
"7472",77183,"Male","No records",0,17.75,489838,1.16,1734363,14.2,53.04,40,"Salaried","Mortgage","Vehicle",0
"9149",92309,"Male","Grade 12",0,35,4636,0.6,12009,24.79,88.73,53.4,"Unemployed","Rent","Other",1
"6847",72086,"Female","Degree",0,16.25,89164,2.02,36419,32.57,105.05,57.2,"Self-employed","Mortgage","Home_improvement",1
"3162",39041,"Female","No records",0,35,3977,0.56,6356,39.94,128.14,63.4,"Unemployed","Rent","Other",0
"1420",22839,"Female","Degree",0,18.75,688239,1.79,842424,26.76,93.21,59.2,"Salaried","Rent","Vehicle",1
"8195",83927,"Female","No records",2,18.75,595900,1.82,978067,24.36,79.05,56.1,"Salaried","Rent","Vehicle",0
"98",10908,"Female","No records",0,18.25,442147,1.55,1453881,3.98,26.55,33.7,"Salaried","Mortgage","Home_improvement",0
"3607",42996,"Male","Grade 12",0,21.25,666541,1.33,1445666,15.39,55.68,37.5,"Self-employed","Own","Debt_consolidation",1
"1621",24736,"Female","Degree",1,21.25,536294,2.33,1932530,11.26,41.83,44.8,"Contract","Mortgage","Vehicle",0
"436",14078,"Male","Diploma",0,20.75,153200,1.34,192618,34.87,111.84,63.8,"Salaried","Own","Debt_consolidation",0
"8996",91016,"Female","Grade 12",0,21.25,1160314,1.7,1091831,7.13,33.63,36.9,"Contract","Mortgage","Vehicle",1
"9768",97947,"Female","Postgrad",0,14.25,165010,1.62,104738,20.5,74.37,49.7,"Salaried","Mortgage","Home_improvement",0
"6801",71728,"Male","No records",0,18.25,571344,1.81,435734,34.67,112,61.1,"Salaried","Mortgage","Home_improvement",0
"47",10401,"Male","Grade 12",0,19.25,267212,1.46,765885,38.43,124.89,62.3,"Salaried","Mortgage","Vehicle",1
"6222",66697,"Female","No records",1,16.75,514092,1.92,632665,17.41,63.58,46.9,"Salaried","Mortgage","Home_improvement",0
"5147",56811,"Female","Diploma",0,16.75,265143,1.4,435338,29.45,98.77,58.3,"Salaried","Mortgage","Home_improvement",1
"2314",31013,"Female","Grade 12",2,25.25,2826530,1.93,9507520,39.49,129.67,72.4,"Self-employed","Rent","Other",1
"2091",28844,"Female","Grade 12",2,18.75,142467,1.58,188976,35.56,115.52,58.2,"Salaried","Rent","Vehicle",1
"133",11251,"Female","Degree",2,19.25,295420,1.16,941821,14.04,53.09,47.5,"Salaried","Own","Debt_consolidation",0
