,ID,Gender,Education,Offences
236,12234,Female,Grade 12,3
237,12242,Female,Diploma,1
238,12249,Female,Diploma,0
239,12258,Male,Grade 12,0
241,12287,Female,Grade 12,2
242,12291,Male,Diploma,0
243,12301,Female,Diploma,0
244,12307,Male,Diploma,0
247,12342,Female,Degree,0
248,12353,Female,Grade 12,0
249,12366,Female,Grade 12,2
250,12370,Male,Diploma,1
252,12378,Female,Grade 12,2
253,12381,Male,Diploma,0
254,12396,Male,Grade 12,0
255,12412,Male,Grade 12,1
256,12413,Male,Diploma,2
257,12417,Male,Grade 12,1
259,12430,Male,Grade 12,0
260,12442,Female,Grade 12,0
261,12466,Female,Degree,0
262,12468,Female,Grade 12,0
264,12490,Female,Grade 12,0
265,12502,Male,Grade 12,1
266,12505,Female,Grade 12,0
267,12507,Male,Diploma,1
268,12508,Male,Diploma,0
269,12512,Male,Grade 12,0
271,12519,Male,Diploma,0
272,12523,Male,Postgrad,0
273,12525,Female,Degree,3
274,12537,Male,Grade 12,1
275,12551,Female,Diploma,1
276,12553,Male,Grade 12,1
277,12560,Male,Degree,0
278,12564,Male,Diploma,0
279,12568,Male,Postgrad,0
280,12589,Female,Diploma,1
281,12605,Female,Postgrad,0
282,12617,Male,Grade 12,2
283,12622,Male,Grade 12,0
284,12631,Male,Degree,0
285,12632,Female,Grade 12,0
286,12657,Female,Diploma,1
288,12674,Male,Degree,0
290,12707,Male,Grade 12,0
291,12708,Male,Diploma,0
292,12739,Male,Diploma,0
293,12741,Male,Degree,2
295,12743,Female,Grade 12,0
296,12744,Female,Grade 12,0
297,12754,Female,Diploma,0
298,12772,Male,Grade 12,0
300,12784,Female,Grade 12,0
301,12795,Female,Degree,0
302,12796,Male,Diploma,2
303,12798,Female,Postgrad,0
304,12813,Male,Degree,1
305,12822,Male,Diploma,0
306,12832,Female,Grade 12,0
307,12837,Male,Grade 12,0
308,12840,Male,Diploma,1
309,12847,Male,Diploma,0
310,12872,Female,Grade 12,1
311,12887,Male,Grade 12,0
312,12897,Female,Degree,0
313,12900,Male,Degree,3
314,12911,Female,Postgrad,4
315,12915,Female,Grade 12,0
317,12936,Female,Postgrad,0
318,12942,Male,Diploma,1
319,12954,Male,Degree,0
320,12960,Male,Degree,0
321,12961,Female,Grade 12,0
322,12967,Male,Grade 12,0
323,12971,Male,Grade 12,0
324,12979,Female,Diploma,0
325,12984,Male,Degree,2
326,13000,Male,Degree,1
327,13041,Female,Degree,1
328,13047,Male,Diploma,1
329,13059,Female,Grade 12,1
330,13068,Female,Grade 12,0
331,13069,Female,Postgrad,0
332,13081,Male,Diploma,1
333,13089,Male,Grade 12,0
334,13108,Male,Grade 12,1
335,13111,Male,Grade 12,0
336,13117,Female,Postgrad,2
337,13150,Male,Diploma,0
338,13173,Male,Diploma,2
339,13174,Male,Grade 12,0
340,13190,Male,Degree,1
341,13191,Female,Degree,0
342,13194,Female,Diploma,0
344,13198,Female,Degree,0
345,13202,Male,Grade 12,1
346,13206,Male,Degree,0
348,13225,Female,Grade 12,2
349,13230,Male,Diploma,2
351,13290,Male,Diploma,0
352,13306,Female,Diploma,0
353,13319,Male,Diploma,2
355,13324,Female,Diploma,0
356,13328,Male,Diploma,2
357,13335,Male,Grade 12,1
359,13347,Female,Postgrad,0
360,13363,Female,Diploma,1
361,13390,Male,Grade 12,0
362,13397,Male,Degree,0
363,13416,Male,Grade 12,0
365,13426,Male,Grade 12,0
366,13441,Female,Grade 12,0
368,13451,Female,Diploma,0
369,13458,Male,Grade 12,0
370,13462,Male,Diploma,0
371,13473,Male,Grade 12,0
372,13487,Female,Degree,0
373,13497,Female,Diploma,0
374,13501,Male,Grade 12,0
375,13502,Male,Diploma,0
376,13505,Female,Grade 12,2
377,13513,Male,Diploma,0
379,13529,Female,Diploma,0
380,13533,Male,Degree,0
383,13567,Female,Postgrad,0
384,13587,Female,Degree,0
385,13602,Female,Grade 12,1
386,13603,Female,Degree,1
387,13606,Female,Degree,2
388,13619,Female,Grade 12,0
390,13643,Female,Degree,0
391,13646,Male,Grade 12,0
392,13647,Male,Grade 12,1
393,13659,Male,Diploma,0
394,13673,Male,Degree,0
396,13705,Male,Degree,2
397,13708,Male,Postgrad,0
398,13712,Female,Diploma,0
399,13724,Female,Grade 12,2
400,13732,Male,Degree,2
401,13735,Male,Diploma,0
402,13770,Male,Diploma,0
403,13774,Male,Grade 12,0
404,13798,Male,Degree,2
406,13828,Female,Grade 12,0
407,13833,Male,Degree,0
408,13854,Female,Grade 12,0
409,13859,Male,Diploma,0
410,13870,Female,Diploma,0
412,13908,Female,Grade 12,0
413,13910,Female,Grade 12,0
414,13922,Female,Grade 12,3
415,13924,Male,Degree,2
416,13930,Female,Grade 12,2
417,13947,Male,Diploma,0
418,13950,Male,Degree,0
419,13963,Male,Diploma,0
420,13976,Male,Grade 12,0
421,13982,Male,Diploma,0
422,13983,Male,Diploma,1
424,13997,Male,Grade 12,0
426,14022,Female,Diploma,0
428,14026,Male,Diploma,0
430,14036,Male,Diploma,2
431,14037,Female,Degree,0
432,14041,Female,Diploma,1
434,14066,Female,Grade 12,1
435,14078,Male,Diploma,0
436,14081,Female,Diploma,1
437,14086,Male,Grade 12,0
438,14090,Female,Diploma,2
439,14105,Male,Diploma,1
441,14118,Male,Grade 12,0
442,14123,Female,Degree,0
443,14124,Female,Degree,3
444,14130,Male,Diploma,2
445,14137,Female,Grade 12,1
447,14145,Female,Grade 12,2
448,14152,Female,Grade 12,0
449,14165,Female,Degree,0
450,14199,Female,Diploma,0
451,14211,Male,Grade 12,2
452,14222,Female,Grade 12,0
454,14234,Female,Postgrad,0
455,14239,Male,Grade 12,0
456,14242,Female,Diploma,0
457,14248,Female,Grade 12,0
462,14282,Female,Grade 12,2
463,14289,Male,Diploma,0
465,14318,Female,Grade 12,0
466,14321,Female,Grade 12,0
469,14363,Male,Degree,0
470,14377,Male,Grade 12,3
471,14383,Male,Diploma,1
472,14401,Female,Grade 12,0
475,14438,Male,Degree,0
477,14456,Male,Diploma,1
478,14473,Female,Diploma,1
479,14483,Male,Diploma,1
480,14485,Female,Grade 12,0
481,14493,Female,Grade 12,3
482,14497,Female,Diploma,1
483,14498,Female,Grade 12,2
484,14509,Male,Diploma,0
485,14521,Female,Diploma,0
486,14527,Female,Degree,0
487,14537,Male,Grade 12,0
488,14562,Female,Grade 12,0
489,14571,Female,Diploma,0
490,14585,Male,Diploma,0
491,14590,Female,Degree,1
492,14603,Male,Postgrad,0
494,14615,Female,Grade 12,2
495,14617,Female,Degree,1
497,14639,Male,Diploma,1
499,14647,Male,Grade 12,0
500,14651,Female,Grade 12,0
501,14652,Female,Grade 12,0
502,14667,Female,Grade 12,2
503,14673,Female,Grade 12,0
504,14674,Male,Grade 12,0
505,14685,Male,Degree,1
506,14718,Male,Grade 12,2
508,14735,Female,Diploma,1
509,14752,Male,Postgrad,0
510,14761,Female,Degree,0
511,14767,Male,Diploma,1
512,14787,Female,Diploma,0
514,14818,Female,Degree,0
515,14821,Female,Diploma,0
516,14829,Female,Grade 12,0
517,14830,Male,Grade 12,0
520,14863,Female,Diploma,2
521,14870,Female,Grade 12,0
523,14876,Female,Degree,0
524,14877,Male,Diploma,0
527,14932,Male,Diploma,1
528,14948,Male,Diploma,0
529,14966,Male,Grade 12,0
530,14974,Female,Degree,1
531,14986,Female,Grade 12,0
533,14989,Male,Grade 12,0
534,15011,Male,Diploma,2
536,15023,Female,Diploma,1
537,15043,Female,Diploma,0
538,15048,Female,Grade 12,0
539,15060,Male,Grade 12,0
540,15062,Male,Grade 12,2
541,15065,Male,Degree,0
542,15071,Female,Diploma,2
543,15086,Female,Postgrad,0
544,15095,Female,Degree,1
545,15096,Male,Diploma,0
547,15105,Female,Diploma,1
548,15111,Female,Grade 12,0
549,15112,Male,Degree,0
550,15115,Female,Grade 12,0
551,15120,Male,Degree,0
552,15127,Female,Postgrad,0
553,15135,Female,Diploma,2
554,15147,Female,Grade 12,2
555,15155,Male,Diploma,0
556,15156,Female,Diploma,0
557,15162,Female,Diploma,0
559,15203,Female,Diploma,2
560,15205,Male,Grade 12,0
562,15220,Female,Grade 12,0
563,15226,Male,Grade 12,0
564,15230,Female,Grade 12,0
565,15233,Female,Diploma,0
566,15234,Female,Postgrad,4
567,15242,Female,Grade 12,0
568,15253,Female,Diploma,0
569,15265,Male,Diploma,2
570,15272,Female,Diploma,1
571,15296,Male,Grade 12,0
572,15298,Female,Diploma,1
574,15314,Male,Grade 12,0
575,15326,Female,Diploma,0
577,15341,Female,Grade 12,0
579,15358,Male,Grade 12,2
580,15365,Male,Diploma,0
581,15370,Female,Diploma,0
582,15378,Male,Diploma,0
583,15394,Male,Grade 12,0
584,15395,Female,Grade 12,0
585,15398,Male,Degree,0
587,15408,Female,Diploma,1
588,15410,Female,Grade 12,0
590,15456,Male,Diploma,0
591,15457,Female,Grade 12,0
593,15491,Female,Grade 12,0
594,15492,Male,Postgrad,1
595,15493,Female,Grade 12,1
596,15498,Male,Grade 12,2
597,15509,Male,Degree,1
598,15510,Female,Grade 12,0
599,15511,Female,Diploma,0
600,15512,Female,Diploma,1
601,15525,Female,Degree,1
602,15563,Female,Diploma,0
605,15595,Male,Diploma,0
606,15597,Male,Diploma,3
607,15609,Female,Grade 12,1
608,15611,Male,Grade 12,0
609,15619,Female,Degree,1
610,15624,Male,Postgrad,0
612,15636,Female,Diploma,0
613,15647,Male,Diploma,1
614,15653,Female,Degree,1
615,15660,Female,Diploma,1
617,15667,Male,Grade 12,1
618,15686,Female,Grade 12,0
619,15703,Female,Postgrad,0
620,15711,Female,Postgrad,2
622,15716,Female,Grade 12,0
623,15736,Female,Degree,0
624,15739,Female,Grade 12,0
625,15752,Male,Grade 12,0
626,15776,Male,Degree,2
627,15778,Male,Grade 12,2
628,15783,Male,Grade 12,2
629,15791,Male,Postgrad,1
631,15800,Female,Diploma,0
632,15801,Male,Diploma,3
633,15802,Female,Grade 12,0
635,15804,Male,Diploma,2
637,15817,Female,Grade 12,0
638,15820,Female,Grade 12,0
639,15823,Female,Degree,0
640,15834,Female,Grade 12,1
643,15865,Female,Postgrad,3
644,15871,Female,Degree,0
645,15874,Male,Grade 12,0
646,15894,Male,Grade 12,0
647,15896,Female,Diploma,0
648,15899,Male,Grade 12,0
650,15923,Male,Grade 12,1
651,15925,Male,Postgrad,2
652,15933,Male,Diploma,0
653,15946,Male,Grade 12,0
654,15950,Female,Diploma,2
655,15952,Female,Diploma,2
656,15954,Female,Postgrad,0
657,15965,Female,Grade 12,0
659,15979,Female,Grade 12,0
660,15980,Male,Diploma,2
661,16008,Male,Grade 12,0
662,16011,Female,Grade 12,0
663,16014,Male,Grade 12,1
664,16018,Male,Grade 12,1
665,16020,Male,Grade 12,0
666,16034,Male,Grade 12,0
667,16054,Male,Diploma,2
668,16093,Female,Grade 12,0
669,16097,Female,Diploma,0
670,16100,Female,Diploma,0
672,16134,Male,Grade 12,0
673,16143,Male,Degree,1
674,16157,Female,Grade 12,0
675,16167,Female,Grade 12,0
676,16183,Female,Degree,2
677,16197,Female,Grade 12,0
678,16198,Male,Diploma,0
679,16219,Female,Grade 12,0
681,16225,Male,Diploma,2
682,16231,Male,Grade 12,0
683,16232,Female,Degree,0
684,16240,Male,Degree,1
686,16263,Female,Diploma,0
687,16274,Male,Diploma,0
689,16286,Male,Diploma,1
690,16299,Female,Diploma,0
691,16365,Male,Diploma,0
693,16382,Female,Degree,2
694,16389,Female,Grade 12,0
695,16404,Female,Degree,1
696,16407,Female,Degree,0
698,16424,Female,Grade 12,0
699,16427,Female,Degree,0
700,16441,Female,Postgrad,0
701,16447,Male,Diploma,0
702,16448,Male,Diploma,0
703,16453,Male,Degree,0
704,16455,Female,Diploma,3
705,16461,Male,Grade 12,2
706,16467,Male,Grade 12,2
709,16485,Female,Grade 12,0
710,16490,Male,Diploma,1
713,16519,Female,Grade 12,1
715,16547,Female,Diploma,0
716,16559,Female,Grade 12,0
717,16564,Female,Diploma,0
720,16627,Female,Grade 12,1
721,16632,Female,Grade 12,0
722,16637,Female,Diploma,0
723,16642,Female,Grade 12,1
724,16653,Female,Degree,4
725,16698,Male,Diploma,0
726,16699,Male,Grade 12,0
727,16710,Female,Grade 12,2
728,16749,Male,Grade 12,0
730,16763,Male,Grade 12,0
732,16771,Male,Grade 12,0
733,16793,Male,Grade 12,0
734,16799,Male,Diploma,1
735,16820,Female,Diploma,0
736,16829,Female,Degree,1
737,16835,Male,Degree,0
738,16853,Female,Grade 12,2
739,16865,Male,Grade 12,3
740,16866,Male,Grade 12,0
741,16877,Male,Grade 12,1
742,16909,Female,Grade 12,0
743,16917,Male,Degree,0
744,16921,Male,Diploma,4
745,16923,Male,Grade 12,2
746,16925,Male,Diploma,1
747,16926,Female,Grade 12,0
748,16942,Male,Diploma,0
749,16949,Female,Grade 12,1
750,16955,Female,Diploma,0
751,16965,Female,Grade 12,0
752,16967,Male,Postgrad,0
753,16970,Male,Diploma,2
754,16971,Male,Grade 12,0
755,16975,Female,Diploma,2
756,16997,Female,Grade 12,2
757,17007,Male,Grade 12,0
758,17012,Female,Grade 12,0
759,17019,Male,Diploma,2
760,17038,Female,Diploma,0
762,17045,Female,Grade 12,0
763,17054,Female,Diploma,2
764,17067,Female,Degree,3
765,17069,Female,Grade 12,2
766,17071,Female,Diploma,1
767,17074,Female,Grade 12,0
768,17082,Female,Diploma,0
770,17124,Male,Grade 12,0
771,17133,Male,Degree,3
772,17136,Female,Diploma,0
773,17141,Male,Diploma,2
774,17153,Male,Diploma,0
775,17154,Female,Grade 12,0
776,17156,Male,Grade 12,0
777,17184,Male,Grade 12,0
778,17188,Female,Grade 12,2
779,17193,Female,Grade 12,0
780,17224,Male,Grade 12,1
781,17230,Male,Grade 12,2
783,17270,Male,Degree,3
785,17280,Male,Diploma,1
788,17311,Female,Degree,0
789,17320,Female,Diploma,2
790,17344,Male,Diploma,1
791,17356,Female,Grade 12,0
792,17357,Male,Degree,0
794,17369,Male,Diploma,3
795,17370,Male,Grade 12,2
796,17380,Male,Degree,0
798,17390,Female,Grade 12,0
799,17391,Female,Grade 12,0
800,17403,Male,Grade 12,2
802,17429,Female,Degree,0
803,17438,Female,Degree,1
804,17441,Male,Postgrad,1
805,17451,Male,Grade 12,0
806,17463,Male,Diploma,2
807,17466,Male,Grade 12,0
808,17471,Male,Diploma,0
809,17473,Male,Degree,2
811,17480,Male,Postgrad,4
812,17482,Male,Diploma,0
813,17483,Male,Grade 12,0
814,17484,Female,Diploma,2
815,17490,Male,Grade 12,0
816,17505,Female,Diploma,1
818,17543,Female,Degree,0
819,17558,Female,Degree,0
820,17564,Male,Grade 12,2
821,17588,Female,Grade 12,1
822,17593,Female,Grade 12,0
823,17595,Male,Diploma,0
825,17614,Female,Grade 12,0
826,17617,Female,Grade 12,0
828,17625,Female,Degree,1
829,17636,Male,Diploma,2
830,17650,Female,Grade 12,0
831,17654,Female,Degree,0
832,17663,Female,Grade 12,0
833,17692,Male,Diploma,0
834,17701,Male,Diploma,0
835,17706,Female,Diploma,1
836,17708,Female,Postgrad,0
837,17714,Female,Degree,2
838,17748,Male,Grade 12,2
839,17753,Male,Grade 12,0
840,17762,Female,Grade 12,1
842,17768,Female,Diploma,0
843,17769,Female,Grade 12,2
844,17780,Female,Degree,1
846,17814,Male,Diploma,2
849,17849,Male,Diploma,2
850,17866,Male,Degree,0
852,17886,Female,Grade 12,0
855,17904,Male,Grade 12,0
856,17905,Male,Grade 12,0
857,17910,Male,Diploma,0
858,17914,Male,Diploma,0
860,17930,Male,Postgrad,2
862,17967,Male,Diploma,2
863,17983,Female,Diploma,3
865,17998,Male,Grade 12,0
866,18004,Male,Grade 12,0
867,18014,Female,Grade 12,1
869,18032,Female,Grade 12,0
870,18065,Female,Diploma,0
871,18066,Female,Diploma,0
872,18079,Female,Diploma,0
875,18096,Male,Postgrad,1
876,18108,Male,Grade 12,2
877,18111,Female,Grade 12,0
878,18123,Female,Degree,1
879,18130,Male,Grade 12,0
880,18134,Female,Postgrad,2
881,18139,Male,Postgrad,0
882,18153,Male,Grade 12,1
883,18167,Male,Degree,0
885,18176,Male,Diploma,0
886,18177,Male,Postgrad,1
888,18208,Female,Grade 12,1
890,18222,Male,Diploma,2
891,18243,Female,Diploma,0
892,18246,Female,Postgrad,0
893,18259,Male,Degree,0
894,18268,Male,Grade 12,1
895,18271,Male,Diploma,3
896,18277,Female,Degree,0
899,18283,Female,Degree,1
900,18288,Female,Diploma,0
901,18289,Female,Grade 12,1
903,18303,Male,Grade 12,0
904,18328,Female,Diploma,0
905,18343,Female,Degree,1
907,18372,Male,Degree,2
908,18382,Male,Grade 12,3
910,18391,Female,Grade 12,1
911,18394,Male,Diploma,0
914,18437,Female,Degree,0
915,18444,Female,Grade 12,0
916,18446,Male,Diploma,2
917,18449,Male,Grade 12,1
918,18451,Female,Grade 12,1
919,18463,Male,Grade 12,1
920,18470,Male,Grade 12,0
921,18471,Female,Postgrad,0
922,18482,Male,Grade 12,0
923,18503,Female,Grade 12,3
924,18508,Male,Grade 12,0
925,18510,Male,Grade 12,2
926,18526,Female,Degree,0
927,18528,Female,Grade 12,0
928,18544,Male,Grade 12,3
929,18545,Female,Grade 12,0
931,18571,Female,Diploma,0
932,18587,Female,Diploma,1
933,18597,Female,Degree,2
934,18606,Female,Grade 12,0
935,18615,Female,Diploma,0
936,18629,Male,Diploma,2
937,18652,Male,Postgrad,1
938,18654,Female,Diploma,1
939,18676,Male,Grade 12,0
940,18679,Female,Degree,0
941,18683,Female,Diploma,0
942,18697,Male,Postgrad,0
943,18698,Male,Diploma,0
944,18705,Female,Postgrad,2
945,18713,Male,Degree,0
946,18725,Female,Degree,0
947,18746,Female,Diploma,1
948,18747,Male,Degree,0
949,18754,Male,Grade 12,1
950,18755,Male,Degree,0
952,18773,Male,Grade 12,0
953,18794,Female,Diploma,0
954,18799,Female,Diploma,2
955,18833,Female,Diploma,0
956,18852,Male,Grade 12,0
957,18866,Male,Grade 12,2
958,18883,Male,Grade 12,0
960,18907,Male,Grade 12,0
961,18909,Male,Postgrad,1
962,18916,Male,Grade 12,0
963,18942,Female,Diploma,0
964,18949,Female,Degree,0
965,18955,Female,Degree,0
967,18966,Male,Degree,0
969,18977,Male,Degree,1
970,18992,Female,Diploma,2
971,18995,Male,Grade 12,0
972,18997,Female,Degree,0
973,19004,Female,Grade 12,0
974,19006,Male,Degree,0
975,19008,Male,Degree,0
976,19012,Female,Grade 12,0
977,19015,Male,Diploma,0
978,19025,Female,Grade 12,1
979,19026,Male,Diploma,0
980,19033,Female,Grade 12,0
981,19037,Female,Diploma,0
982,19053,Female,Grade 12,0
983,19055,Male,Diploma,0
984,19066,Female,Diploma,0
985,19075,Male,Grade 12,2
986,19076,Male,Degree,2
987,19091,Female,Diploma,0
989,19113,Female,Diploma,0
993,19140,Female,Grade 12,0
994,19159,Male,Diploma,2
995,19182,Male,Grade 12,1
996,19197,Female,Grade 12,1
997,19207,Female,Diploma,0
998,19210,Female,Grade 12,0
999,19211,Female,Diploma,0
1000,19223,Male,Grade 12,2
1001,19228,Female,Diploma,0
1002,19233,Female,Grade 12,0
1003,19244,Male,Degree,0
1004,19260,Female,Grade 12,1
1005,19266,Male,Diploma,2
1006,19279,Male,Degree,0
1007,19295,Female,Diploma,1
1008,19296,Female,Grade 12,0
1009,19313,Male,Grade 12,1
1011,19355,Female,Grade 12,0
1012,19364,Female,Postgrad,4
1013,19369,Male,Degree,1
1014,19381,Female,Diploma,0
1015,19386,Male,Postgrad,2
1016,19404,Male,Diploma,0
1017,19413,Male,Degree,0
1019,19420,Female,Grade 12,0
1020,19426,Male,Diploma,0
1021,19429,Male,Degree,2
1022,19445,Female,Grade 12,0
1023,19449,Male,Grade 12,0
1024,19451,Female,Grade 12,0
1025,19458,Female,Grade 12,1
1026,19466,Female,Diploma,1
1028,19473,Male,Grade 12,0
1029,19478,Male,Postgrad,1
1031,19489,Female,Diploma,2
1033,19510,Male,Degree,2
1034,19511,Female,Degree,2
1035,19519,Female,Diploma,2
1037,19551,Male,Diploma,0
1038,19569,Male,Degree,1
1040,19587,Male,Diploma,0
1041,19595,Male,Degree,1
1043,19613,Female,Grade 12,1
1044,19629,Female,Diploma,0
1045,19635,Female,Diploma,2
1046,19643,Female,Diploma,0
1048,19669,Male,Diploma,2
1049,19671,Male,Diploma,1
1050,19676,Female,Grade 12,0
1051,19687,Female,Grade 12,1
1052,19696,Female,Grade 12,2
1053,19725,Male,Diploma,2
1054,19743,Female,Diploma,0
1056,19752,Female,Grade 12,0
1057,19753,Female,Diploma,0
1058,19778,Female,Diploma,0
1059,19791,Female,Diploma,0
1061,19815,Male,Grade 12,0
1062,19816,Male,Grade 12,0
1063,19819,Male,Grade 12,2
1064,19821,Female,Diploma,0
1065,19825,Female,Grade 12,0
1066,19828,Female,Grade 12,0
1068,19841,Male,Degree,2
1069,19853,Male,Grade 12,2
1070,19854,Female,Diploma,2
1071,19865,Male,Grade 12,3
1072,19869,Female,Degree,0
1073,19874,Male,Degree,0
1074,19877,Male,Diploma,2
1075,19879,Female,Diploma,0
1076,19895,Female,Postgrad,0
1077,19912,Male,Postgrad,1
1079,19934,Female,Grade 12,0
1080,19941,Female,Diploma,0
1081,19954,Male,Degree,0
1082,19958,Male,Degree,2
1083,19959,Male,Diploma,0
1085,19970,Male,Grade 12,0
1086,19980,Male,Grade 12,0
1087,19985,Male,Diploma,1
1089,19995,Female,Diploma,1
1091,20002,Female,Diploma,1
1093,20033,Female,Diploma,0
1094,20052,Male,Diploma,1
1095,20061,Female,Degree,0
1096,20079,Female,Diploma,3
1098,20095,Female,Degree,0
1099,20102,Female,Grade 12,0
1100,20107,Male,Degree,3
1101,20119,Male,Grade 12,0
1103,20130,Male,Grade 12,1
1104,20144,Female,Grade 12,1
1107,20176,Male,Diploma,2
1108,20179,Male,Diploma,0
1110,20188,Female,Degree,0
1111,20205,Male,Diploma,0
1112,20208,Female,Grade 12,0
1113,20214,Female,Grade 12,2
1114,20218,Female,Grade 12,0
1115,20221,Male,Diploma,0
1117,20228,Female,Degree,2
1118,20237,Female,Grade 12,2
1119,20242,Female,Grade 12,0
1120,20245,Male,Postgrad,0
1122,20296,Male,Grade 12,1
1123,20297,Male,Diploma,1
1125,20311,Female,Grade 12,0
1126,20312,Male,Grade 12,4
