"","ID","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default","X","Gender","Education","Offences"
"36",10284,17.75,368626,1.05,200009,1.14,15.8,35.5,"Salaried","Mortgage","Home_improvement",0,35,"Male","Diploma",1
"37",10292,18.75,459626,1.56,1483387,11.73,45.38,34.1,"Salaried","Rent","Vehicle",0,36,"Male","Postgrad",0
"38",10314,18.75,427361,1.9,1043085,21.69,79.03,51.7,"Salaried","Rent","Vehicle",0,37,"Male","Diploma",2
"39",10322,18.75,147688,1.54,196145,28.35,99.76,52.7,"Salaried","Rent","Vehicle",0,38,"Male","Grade 12",0
"40",10323,18.75,332222,1.61,1172108,7.96,29.68,39.8,"Salaried","Rent","Vehicle",0,39,"Female","Grade 12",0
"41",10335,25.25,2090140,2.38,1719495,36.39,118.28,66.5,"Self-employed","Rent","Other",1,40,"Male","Grade 12",0
"42",10339,18.75,291899,1.85,738973,27.64,92.55,52.5,"Salaried","Rent","Vehicle",0,41,"Female","Grade 12",0
"43",10346,17.25,1939571,1.31,810542,10.55,39.85,38.7,"Self-employed","Mortgage","Vehicle",0,42,"Female","Grade 12",3
"44",10359,18.25,368224,1.5,426152,33.58,107.09,61.6,"Salaried","Mortgage","Home_improvement",0,43,"Male","Diploma",0
"45",10361,18.75,175158,1.37,604447,25.47,88.47,48,"Salaried","Rent","Vehicle",0,44,"Male","Grade 12",3
"46",10392,22.75,471882,1.35,1757497,5.38,27.52,38.3,"Contract","Mortgage","Vehicle",0,45,"Male","Grade 12",0
"47",10401,19.25,267212,1.46,765885,38.43,124.89,62.3,"Salaried","Mortgage","Vehicle",1,46,"Male","Grade 12",0
"48",10417,17.75,214604,1.25,98082,38.55,121.54,60.8,"Salaried","Rent","Vehicle",0,47,"Female","Degree",0
"49",10434,25.25,2047306,2.08,6733907,37.22,120.41,64.7,"Self-employed","Rent","Other",1,48,"Male","Diploma",2
"50",10447,22.25,190190,1.95,208176,10.8,42.63,44.8,"Contract","Rent","Vehicle",0,49,"Male","Grade 12",3
"51",10453,23.25,131987,1.1,226123,37.91,127.56,69.1,"Salaried","Rent","Other",1,50,"Female","Grade 12",0
"52",10456,16.75,411287,1.64,1461376,21.81,75.01,56.3,"Salaried","Mortgage","Home_improvement",0,51,"Male","Degree",0
"53",10467,25.25,227964,1.65,423009,23.56,82.64,49.1,"Contract","Rent","Other",0,52,"Male","Degree",0
"54",10487,18.25,558008,1.59,1410077,31.22,102.53,63.8,"Salaried","Mortgage","Home_improvement",1,53,"Male","Degree",0
"55",10499,33.75,3533,0.45,9553,35.6,114.68,60.8,"Unemployed","Rent","Debt_consolidation",0,54,"Male","Diploma",0
"56",10503,19.25,248993,1.71,528583,24.58,81.87,56.8,"Salaried","Own","Debt_consolidation",1,55,"Female","Grade 12",0
"57",10530,23.25,122165,1.42,156852,34.41,108.23,63.2,"Salaried","Rent","Other",0,56,"Female","Degree",0
"58",10538,19.25,418378,1.21,1323292,24.63,81.19,54.9,"Salaried","Own","Debt_consolidation",0,57,"Male","Grade 12",0
"59",10546,18.75,197467,1.44,731608,9.77,34.61,39,"Salaried","Rent","Vehicle",0,58,"Female","Grade 12",0
"60",10547,18.75,522002,2.06,1227422,22.17,71.59,44.5,"Salaried","Rent","Vehicle",1,59,"Male","Grade 12",1
"61",10556,16.75,529644,0.81,1013284,22.37,75.16,56.7,"Salaried","Mortgage","Home_improvement",0,60,"Male","Diploma",0
"62",10571,19.25,623984,1.78,1663527,5.25,22.93,27.4,"Salaried","Mortgage","Vehicle",0,61,"Female","Degree",0
"63",10576,23.75,460900,1.62,749895,35.84,114.21,60.5,"Contract","Rent","Vehicle",1,62,"Female","No records",0
"64",10580,18.75,2296946,1.22,3903252,10.23,41.07,44.3,"Self-employed","Mortgage","Home_improvement",0,63,"Male","Diploma",1
"65",10587,29.75,7196,0.36,17622,18.02,58.06,49.4,"Unemployed","Rent","Debt_consolidation",0,64,"Male","Diploma",0
"66",10598,25.25,565434,2.01,1346767,4.34,23.18,26.6,"Self-employed","Rent","Other",1,65,"Female","Grade 12",0
"67",10601,20.25,1118478,2.12,1763653,39.48,124.64,71,"Self-employed","Mortgage","Home_improvement",1,66,"Male","Diploma",4
"68",10606,21.75,292978,1.46,1098237,22.4,73.76,50.8,"Self-employed","Mortgage","Debt_consolidation",1,67,"Male","Grade 12",0
"69",10632,16.75,365449,1.74,859240,16.25,63.48,46.3,"Salaried","Mortgage","Home_improvement",0,68,"Male","Grade 12",0
"70",10679,18.25,281719,2.16,784787,30.17,100,61.4,"Salaried","Mortgage","Home_improvement",1,69,"Male","Degree",0
"71",10680,19.25,434152,1.65,1546796,5.05,26.56,36.3,"Salaried","Mortgage","Vehicle",0,70,"Female","Grade 12",1
"72",10692,21.25,345896,1.87,735940,23.54,83.27,45.8,"Contract","Mortgage","Vehicle",1,71,"Male","No records",0
"73",10696,20.25,593121,2.17,1893076,30.13,100.59,58,"Contract","Mortgage","Home_improvement",0,72,"Male","Grade 12",0
"74",10705,22.75,855123,2.34,1827948,7.3,30.94,35.8,"Contract","Own","Debt_consolidation",1,73,"Male","No records",0
"75",10732,20.25,342955,1.9,196298,17.4,59.04,47.2,"Contract","Own","Debt_consolidation",0,74,"Male","Grade 12",2
"76",10737,14.25,394294,1.86,172193,14.22,53.86,42.5,"Salaried","Mortgage","Home_improvement",0,75,"Female","No records",4
"77",10743,18.75,490067,1.65,1026511,24.64,88.46,46.9,"Salaried","Rent","Vehicle",0,76,"Female","No records",0
"78",10751,21.25,287290,1.66,389189,1.66,11.93,33.2,"Salaried","Mortgage","Vehicle",1,77,"Male","Postgrad",1
"79",10760,17.75,175855,1.02,288059,16.56,57.33,41.8,"Salaried","Mortgage","Vehicle",0,78,"Female","Postgrad",1
"80",10762,19.75,2549861,2.39,4477553,21.07,76,55.8,"Self-employed","Mortgage","Vehicle",0,79,"Female","Diploma",2
"81",10768,18.75,318501,1.89,748910,25.81,84.83,56.4,"Salaried","Rent","Vehicle",0,80,"Female","Degree",1
"82",10769,19.25,226413,1.9,412372,10.46,39.7,39.8,"Salaried","Own","Debt_consolidation",0,81,"Female","No records",0
"83",10776,19.25,688276,1.09,829727,38.17,122.04,70,"Salaried","Mortgage","Vehicle",1,82,"Male","No records",0
"84",10811,21.75,166487,1.29,212737,0.46,5.96,24.8,"Salaried","Mortgage","Home_improvement",0,83,"Female","No records",0
"85",10819,23.25,647150,1.55,716963,33.65,111.44,66.5,"Salaried","Rent","Other",0,84,"Female","Diploma",0
"86",10828,20.25,452076,1.1,1531794,30.8,100.83,60.2,"Salaried","Rent","Vehicle",0,85,"Female","Diploma",0
"87",10837,19.75,541596,1.53,360980,0.66,9.9,29.3,"Salaried","Rent","Vehicle",1,86,"Male","No records",2
"88",10838,23.25,950578,1.17,2011038,37.8,119.87,67,"Self-employed","Mortgage","Debt_consolidation",1,87,"Male","Diploma",0
"89",10851,20.25,133168,1.46,196327,2.38,20.15,30.3,"Salaried","Mortgage","Home_improvement",0,88,"Female","Grade 12",2
"90",10855,19.25,596196,1.53,580980,25.66,86.24,49.9,"Salaried","Own","Debt_consolidation",0,89,"Male","Diploma",2
"91",10856,19.25,400504,1.53,1206011,3.74,14.75,27.9,"Salaried","Mortgage","Vehicle",1,90,"Female","No records",0
"92",10877,17.25,582829,1.34,303630,26.5,90.7,59.2,"Self-employed","Mortgage","Vehicle",1,91,"Female","Diploma",1
"93",10881,32.25,5906,0.39,4700,8.21,37.11,36.9,"Unemployed","Rent","Debt_consolidation",0,92,"Male","Diploma",0
"94",10891,17.75,372104,1.83,391748,30.1,97.57,55,"Salaried","Mortgage","Vehicle",1,93,"Female","Diploma",0
"95",10897,21.75,357207,1.76,639551,23.85,82.16,48.9,"Salaried","Rent","Other",0,94,"Female","Grade 12",1
"96",10902,15.25,414377,1.63,172978,25.06,83.35,53.6,"Salaried","Mortgage","Vehicle",0,95,"Male","Grade 12",0
"97",10906,19.25,457453,2.02,624141,36,122.19,69.9,"Salaried","Mortgage","Vehicle",1,96,"Male","Postgrad",0
"98",10908,18.25,442147,1.55,1453881,3.98,26.55,33.7,"Salaried","Mortgage","Home_improvement",0,97,"Female","No records",0
"99",10909,16.75,220963,1.73,428727,25.71,86.47,55.2,"Salaried","Mortgage","Home_improvement",1,98,"Male","Grade 12",0
"100",10910,23.25,153080,1.68,140415,6.05,30.25,30.8,"Salaried","Rent","Other",0,99,"Male","No records",1
"101",10915,18.75,367475,1.66,771825,35.05,117.58,59.1,"Salaried","Rent","Vehicle",1,100,"Male","Grade 12",2
"102",10917,16.75,107520,1.51,44754,4.14,19.15,35.3,"Salaried","Mortgage","Vehicle",1,101,"Female","Grade 12",0
"103",10918,34.75,1885,0.57,1398,12.05,43.62,38.5,"Unemployed","Mortgage","Debt_consolidation",1,102,"Female","Diploma",0
"104",10930,18.25,410278,1.93,1504193,4.12,25.99,29.8,"Salaried","Mortgage","Home_improvement",0,103,"Male","Grade 12",0
"105",10940,30.25,6730,0.39,9928,24.81,88.22,47.7,"Unemployed","Rent","Vehicle",1,104,"Female","Diploma",1
"106",10941,17.75,575523,1.87,1475157,15.78,56.83,49.8,"Salaried","Mortgage","Vehicle",1,105,"Female","No records",0
"107",10945,20.25,1191428,1.83,1220184,39.1,128.08,68.4,"Self-employed","Mortgage","Home_improvement",1,106,"Male","Diploma",1
"108",10957,19.25,262622,1.27,256644,32.82,109.91,67.2,"Salaried","Mortgage","Vehicle",0,107,"Male","No records",1
"109",10989,18.75,685171,1.69,1152130,27.13,90.78,58.8,"Salaried","Rent","Vehicle",1,108,"Male","Diploma",1
"110",10995,16.75,533493,1.84,717252,15.19,53.56,38.4,"Salaried","Mortgage","Home_improvement",1,109,"Female","Degree",0
"111",11016,21.75,646860,1.73,2227295,14.85,52.49,41.8,"Salaried","Rent","Other",0,110,"Female","Grade 12",1
"112",11029,16.75,155713,1.53,460682,12.59,46.65,41.9,"Salaried","Mortgage","Home_improvement",0,111,"Female","Degree",0
"113",11041,18.75,372378,1.33,987329,30.73,105.09,57.6,"Salaried","Rent","Vehicle",1,112,"Female","No records",0
"114",11062,24.75,505987,1.36,1792273,0.83,12.06,35.7,"Contract","Mortgage","Vehicle",1,113,"Male","Postgrad",0
"115",11070,23.75,980224,0.69,871817,6.38,29,30.8,"Contract","Rent","Vehicle",0,114,"Male","Degree",0
"116",11072,17.75,404216,1.12,484808,21.83,76.37,48.4,"Salaried","Mortgage","Vehicle",0,115,"Female","Grade 12",2
"117",11088,22.75,293515,2.45,137160,27.82,97.84,51.9,"Contract","Rent","Other",1,116,"Female","Grade 12",0
"118",11107,19.25,437172,1.25,418905,32.99,109.61,66.7,"Salaried","Mortgage","Vehicle",0,117,"Female","No records",1
"119",11109,16.75,332048,1.65,569155,11.12,43.63,43.2,"Salaried","Mortgage","Home_improvement",1,118,"Male","No records",0
"120",11116,18.75,185037,1.81,126011,21.32,70.34,52,"Salaried","Rent","Vehicle",0,119,"Female","Postgrad",3
"121",11121,18.75,292526,1.4,269506,22.11,79.11,56.7,"Salaried","Rent","Vehicle",0,120,"Male","Diploma",0
"122",11140,34.75,3165,0.63,1353,31.1,107.18,64.6,"Unemployed","Rent","Debt_consolidation",1,121,"Female","Postgrad",1
"123",11157,19.75,285280,1.74,870005,12.52,45.9,38.7,"Self-employed","Mortgage","Vehicle",1,122,"Male","Diploma",1
"124",11162,19.25,433738,1.57,384941,34.64,114.93,67.2,"Salaried","Mortgage","Vehicle",0,123,"Male","Grade 12",0
"125",11172,20.25,599581,1.94,1172271,32.6,115.65,65.2,"Salaried","Rent","Vehicle",0,124,"Male","Degree",2
"126",11175,23.25,2616242,2.23,7941320,32.23,114.25,61.3,"Self-employed","Mortgage","Debt_consolidation",1,125,"Female","Diploma",2
"127",11184,18.75,609527,1.28,488974,15.79,57.02,49.2,"Self-employed","Mortgage","Home_improvement",0,126,"Female","No records",0
"128",11194,18.75,452431,1.57,1610728,10.06,40.56,43.2,"Salaried","Rent","Vehicle",0,127,"Male","No records",0
"129",11196,22.25,1336179,2.22,1553490,22.54,78.53,52.7,"Contract","Rent","Vehicle",1,128,"Male","Postgrad",0
"130",11220,19.25,527723,2.02,895500,20.84,74.28,52.2,"Salaried","Own","Debt_consolidation",1,129,"Male","Diploma",0
"131",11246,16.75,723563,1.78,1505104,24.85,88.19,56.1,"Salaried","Mortgage","Home_improvement",1,130,"Female","Diploma",0
"132",11249,23.75,3604993,2.14,2971385,22.1,72.26,45.5,"Self-employed","Rent","Other",1,131,"Male","Grade 12",0
"133",11251,19.25,295420,1.16,941821,14.04,53.09,47.5,"Salaried","Own","Debt_consolidation",0,132,"Female","Degree",2
"134",11257,17.75,147038,1.69,522584,26.41,89.21,57.5,"Salaried","Mortgage","Vehicle",0,133,"Female","Grade 12",0
"135",11258,18.75,278480,1.5,511482,31.41,103.66,57,"Salaried","Rent","Vehicle",0,134,"Female","Grade 12",0
"136",11263,23.25,262110,1.72,291654,33.93,107.47,60.2,"Salaried","Rent","Other",1,135,"Female","Degree",1
"137",11281,16.75,419913,1.26,1139411,19.35,64.9,43.9,"Salaried","Mortgage","Home_improvement",1,136,"Female","Diploma",2
"138",11315,18.75,170441,1.47,466887,15.99,56.01,46.6,"Salaried","Rent","Vehicle",0,137,"Female","Postgrad",0
"139",11318,20.25,647369,1.35,1852367,0.77,13.61,34.5,"Salaried","Mortgage","Home_improvement",1,138,"Female","Diploma",0
"140",11361,23.75,2350131,1.76,1920170,27.42,94.33,51.7,"Self-employed","Rent","Other",1,139,"Male","No records",0
"141",11391,23.75,2063074,1.59,4223323,33.11,113.9,58,"Self-employed","Rent","Other",1,140,"Female","No records",0
"142",11395,18.75,298678,1.24,646308,18.56,65.59,45.2,"Salaried","Rent","Vehicle",1,141,"Female","Grade 12",0
"143",11397,18.75,506059,1.51,1203118,35.02,112.23,57.3,"Salaried","Rent","Vehicle",0,142,"Female","No records",1
"144",11398,16.75,165570,1.09,339621,10.2,41.56,42.9,"Salaried","Mortgage","Home_improvement",0,143,"Male","Grade 12",1
"145",11412,25.25,2420709,2,1699510,38.84,128.38,62.2,"Self-employed","Rent","Other",1,144,"Female","Diploma",0
"146",11416,17.75,235724,1.45,743803,9.63,40.43,38.3,"Salaried","Mortgage","Vehicle",1,145,"Female","Diploma",2
"147",11424,32.75,9068,0.67,7018,29.18,96.99,56.7,"Unemployed","Rent","Home_improvement",0,146,"Female","No records",0
"148",11437,16.75,303688,1.66,177230,29.55,97.53,59.5,"Salaried","Own","Debt_consolidation",1,147,"Male","Grade 12",1
"149",11460,21.25,368694,1.79,996950,7.14,26.38,36,"Self-employed","Own","Debt_consolidation",0,148,"Female","Grade 12",0
"150",11471,19.75,3238769,2.05,2743953,24,74.95,53,"Self-employed","Mortgage","Vehicle",0,149,"Female","Grade 12",0
"151",11472,19.25,599902,2.06,475987,36.8,120.94,65.7,"Salaried","Mortgage","Vehicle",1,150,"Male","Diploma",2
"152",11478,18.75,216540,1.11,161756,14.64,53.53,43.9,"Salaried","Rent","Vehicle",0,151,"Female","Grade 12",1
"153",11479,25.25,197272,2.02,726758,1.63,14.25,31.5,"Salaried","Rent","Other",1,152,"Male","No records",3
"154",11480,23.25,1727482,1.79,1784488,0.42,10.91,35,"Self-employed","Mortgage","Vehicle",1,153,"Female","Degree",1
"155",11483,31.25,6459,0.34,22521,5.71,29.21,35.5,"Unemployed","Rent","Debt_consolidation",0,154,"Male","Degree",0
"156",11486,20.25,227525,0.87,306386,38.97,124.24,68.2,"Salaried","Rent","Vehicle",1,155,"Male","Grade 12",1
"157",11509,35,3222,0.49,7737,31.73,103.08,64.6,"Unemployed","Rent","Debt_consolidation",1,156,"Male","No records",0
"158",11512,18.25,257998,1.63,674538,4.95,25.7,29.1,"Salaried","Mortgage","Home_improvement",1,157,"Male","Grade 12",0
"159",11519,18.75,454683,1.09,1215858,14.39,54.65,40.9,"Salaried","Rent","Vehicle",0,158,"Male","No records",0
"160",11525,25.25,594602,1.54,943333,39.54,135.14,70.2,"Self-employed","Rent","Other",1,159,"Male","Degree",1
"161",11532,19.25,212211,1.64,779603,38.05,125.23,68,"Salaried","Mortgage","Vehicle",1,160,"Male","No records",0
"162",11544,19.25,571741,1.28,536142,9.36,39.79,31.7,"Salaried","Own","Debt_consolidation",1,161,"Female","No records",0
"163",11567,17.75,441612,1.96,302166,23.84,80.13,53.5,"Salaried","Mortgage","Vehicle",1,162,"Female","No records",0
"164",11571,18.25,517186,1.69,1034498,35.82,113.25,69.8,"Salaried","Mortgage","Home_improvement",1,163,"Female","No records",0
"165",11603,34.75,4929,0.74,18217,28.45,90.85,53.7,"Unemployed","Mortgage","Debt_consolidation",1,164,"Male","Diploma",0
"166",11610,19.25,90857,1.13,249344,35.84,123.68,62.4,"Salaried","Mortgage","Vehicle",1,165,"Female","Diploma",0
"167",11617,15.25,154817,1.59,79561,12.18,50.82,38.8,"Salaried","Mortgage","Vehicle",0,166,"Male","Diploma",0
"168",11619,16.75,300197,1.63,365462,13.59,52.59,37.6,"Salaried","Mortgage","Home_improvement",0,167,"Male","Diploma",0
"169",11625,22.75,1176251,2.03,2976252,5.45,21.31,37.3,"Contract","Mortgage","Vehicle",1,168,"Female","No records",0
"170",11642,16.25,501349,1.95,322122,22.99,77.96,51,"Salaried","Rent","Vehicle",1,169,"Male","No records",1
"171",11648,23.25,412029,2.22,287388,25.31,84.31,55.2,"Contract","Mortgage","Debt_consolidation",1,170,"Female","Grade 12",1
"172",11651,19.25,122328,1.78,66464,8.57,41.07,38.2,"Salaried","Rent","Other",1,171,"Female","Grade 12",1
"173",11664,17.75,1065856,1.63,355991,33.94,109.83,57.8,"Contract","Mortgage","Home_improvement",1,172,"Female","Diploma",0
"174",11671,22.75,1833785,2.31,2750176,6.46,29.4,31.5,"Self-employed","Own","Debt_consolidation",1,173,"Female","Grade 12",1
"175",11684,25.25,2266440,1.39,4261158,30.48,101.71,61.8,"Self-employed","Rent","Other",1,174,"Male","Diploma",2
"176",11685,17.75,217563,1.67,291520,27.57,90.05,51.2,"Salaried","Mortgage","Vehicle",0,175,"Male","Degree",1
"177",11690,20.25,524730,1.81,509365,30.78,106.52,62.4,"Salaried","Rent","Vehicle",1,176,"Male","Grade 12",0
"178",11692,23.75,1700475,2.19,5056478,9.15,39.95,39,"Self-employed","Rent","Other",1,177,"Female","Grade 12",0
"179",11706,16.75,285335,1.06,638789,11.28,47.48,34.3,"Salaried","Mortgage","Home_improvement",0,178,"Female","No records",2
"180",11718,21.75,649316,1.4,1411930,21.61,74.23,49.4,"Salaried","Rent","Other",0,179,"Female","Grade 12",1
"181",11730,25.25,1872851,1.67,4351568,31.13,96.39,64.4,"Self-employed","Rent","Other",0,180,"Female","No records",0
"182",11739,17.75,895450,1.52,3124076,22.02,80.1,54.2,"Salaried","Mortgage","Vehicle",0,181,"Male","Grade 12",0
"183",11744,19.75,1154874,1.74,2421513,11.58,44.18,46,"Self-employed","Mortgage","Vehicle",1,182,"Male","Diploma",0
"184",11755,17.75,232389,1.65,844677,16.07,56.25,46.5,"Salaried","Mortgage","Vehicle",0,183,"Male","Grade 12",0
"185",11764,20.25,1052132,2.13,2019355,37.78,124.13,61.2,"Self-employed","Mortgage","Home_improvement",1,184,"Male","Postgrad",0
"186",11768,19.25,271320,1.89,981515,28.21,103.34,58.5,"Salaried","Own","Debt_consolidation",0,185,"Female","No records",2
"187",11774,22.75,577689,2.2,974059,39.96,127.32,74.9,"Contract","Mortgage","Vehicle",0,186,"Female","Diploma",0
"188",11775,21.75,1137345,1.25,1461832,17.83,65.21,52.5,"Self-employed","Mortgage","Debt_consolidation",1,187,"Male","Diploma",1
"189",11778,16.75,346922,1.71,452729,11.85,51.95,41.8,"Salaried","Mortgage","Home_improvement",0,188,"Male","No records",2
"190",11782,35,6565,0.55,10598,29.1,99.61,62.8,"Unemployed","Rent","Other",1,189,"Female","Grade 12",0
"191",11787,16.75,236405,1.7,85488,20.64,71.36,47,"Salaried","Own","Debt_consolidation",0,190,"Female","No records",0
"192",11811,35,9243,0.48,17309,10.21,39.29,39,"Unemployed","Rent","Debt_consolidation",0,191,"Male","Diploma",0
"193",11826,16.75,255209,1.91,696462,23.12,77.07,56,"Salaried","Mortgage","Home_improvement",0,192,"Male","No records",0
"194",11828,19.75,915247,2.15,781241,24.63,85.05,54,"Self-employed","Mortgage","Vehicle",0,193,"Female","No records",1
"195",11834,18.25,768923,1.33,2133469,36.55,118.06,70.2,"Salaried","Mortgage","Home_improvement",1,194,"Female","No records",1
"196",11835,23.75,2186686,1.6,6744040,13.19,56.62,45.5,"Self-employed","Rent","Other",1,195,"Male","Grade 12",1
"197",11844,20.75,126350,1.36,159770,32.92,105.97,66.5,"Salaried","Own","Debt_consolidation",0,196,"Male","Diploma",0
"198",11845,18.75,446247,1.7,926763,32.61,111.93,60,"Salaried","Rent","Vehicle",0,197,"Female","Degree",0
"199",11850,18.75,261196,1.9,191121,14.61,57.22,37.4,"Salaried","Rent","Vehicle",0,198,"Male","No records",0
"200",11865,19.25,553581,1.38,1378342,17.71,63.06,40.3,"Salaried","Own","Debt_consolidation",0,199,"Female","Grade 12",0
"201",11896,17.75,145859,1.21,380289,19.76,73.54,43.3,"Salaried","Mortgage","Vehicle",1,200,"Female","No records",0
"202",11899,35,3276,0.65,6741,5.54,35.1,33.3,"Unemployed","Rent","Other",1,201,"Female","Diploma",0
"203",11909,20.25,200667,1.71,735254,38.47,126.99,60.6,"Salaried","Rent","Vehicle",1,202,"Female","Diploma",0
"204",11915,19.75,3224305,1.87,6454623,16.84,59.24,45.8,"Self-employed","Mortgage","Vehicle",0,203,"Male","No records",1
"205",11916,17.75,458336,1.43,786658,12.46,49.47,46.1,"Salaried","Mortgage","Vehicle",1,204,"Female","No records",1
"206",11922,19.75,1612822,2.1,1239049,15.2,55.79,38.5,"Self-employed","Mortgage","Vehicle",1,205,"Female","Grade 12",0
"207",11955,21.75,335594,1.27,929031,23.08,71.81,57.3,"Salaried","Rent","Other",1,206,"Female","No records",2
"208",11957,30.75,5823,0.34,20114,16.07,56.31,39.9,"Unemployed","Rent","Other",0,207,"Male","Grade 12",1
"209",11961,17.75,334727,1.78,704759,8.16,40.97,31.9,"Salaried","Mortgage","Vehicle",1,208,"Female","Diploma",2
"210",11969,35,4238,0.56,7584,39.55,127.04,66.9,"Unemployed","Mortgage","Debt_consolidation",0,209,"Female","No records",0
"211",11980,25.25,3065705,1.34,2575372,37.84,113.96,69.6,"Self-employed","Rent","Other",1,210,"Female","Grade 12",0
"212",11999,23.25,547749,1.75,526482,35.05,110.18,67.5,"Salaried","Rent","Other",1,211,"Male","Grade 12",0
"213",12016,18.75,343443,1.17,475077,17.43,65.13,50.3,"Salaried","Rent","Vehicle",0,212,"Male","Degree",1
"214",12034,23.25,298186,2.02,997223,21.36,73.84,53.6,"Contract","Mortgage","Debt_consolidation",1,213,"Female","Grade 12",0
"215",12035,33.25,8416,0.69,5586,12.78,47.1,36.7,"Unemployed","Rent","Debt_consolidation",1,214,"Female","Diploma",0
